City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
109,shadegan,IR,2021-11-30 06:14:36,30.6497,48.6647,70.11,32,0,10.54,clear sky,0.0,0
110,upernavik,GL,2021-11-30 06:14:37,72.7868,-56.1549,23.29,96,100,3.24,light snow,0.0,0
111,zaranj,AF,2021-11-30 06:14:37,30.9667,61.8833,62.56,26,90,3.65,overcast clouds,0.0,0
112,ostrov,RU,2021-11-30 06:14:38,57.3439,28.3537,20.93,95,100,17.4,light snow,0.0,0
113,rorvik,NO,2021-11-30 06:13:02,64.8621,11.2373,26.71,50,0,11.5,clear sky,0.0,0
114,pangody,RU,2021-11-30 06:14:39,65.85,74.4859,-1.1,97,99,10.56,overcast clouds,0.0,0
115,nyanguge,TZ,2021-11-30 06:14:39,-2.55,33.2,73.74,66,96,10.27,overcast clouds,0.0,0
116,sechura,PE,2021-11-30 06:14:39,-5.5569,-80.8222,66.31,81,100,9.86,overcast clouds,0.0,0
117,illapel,CL,2021-11-30 06:14:40,-31.6308,-71.1653,61.16,65,0,1.59,clear sky,0.0,0
118,hambantota,LK,2021-11-30 06:14:40,6.1241,81.1185,83.26,72,63,6.02,broken clouds,0.0,0
119,hanumangarh,IN,2021-11-30 06:14:41,29.5833,74.3167,74.1,21,71,3.56,broken clouds,0.0,0
120,marigot,MF,2021-11-30 06:14:41,18.0667,-63.0833,80.04,71,3,15.46,clear sky,0.0,0
121,kismayo,SO,2021-11-30 06:14:42,-0.3582,42.5454,84.2,67,89,11.41,overcast clouds,0.0,0
122,cap-aux-meules,CA,2021-11-30 06:14:42,47.3821,-61.8597,44.69,98,100,6.06,overcast clouds,0.0,0
123,podolinec,SK,2021-11-30 06:14:43,49.2587,20.536,29.97,87,22,5.32,light snow,0.0,0
124,quatre cocos,MU,2021-11-30 06:14:43,-20.2078,57.7625,83.08,63,19,10.92,few clouds,0.0,0
125,jalu,LY,2021-11-30 06:14:44,29.0331,21.5482,56.57,28,21,8.79,few clouds,0.0,0
126,odesskoye,RU,2021-11-30 06:14:44,54.2111,72.9651,14.92,87,62,5.68,broken clouds,0.0,0
127,malumfashi,NG,2021-11-30 06:10:18,11.7853,7.6218,64.49,19,36,9.4,scattered clouds,0.0,0
128,belomorsk,RU,2021-11-30 06:14:45,64.5232,34.7668,19.04,89,100,17.07,light snow,0.0,0
129,luderitz,NA,2021-11-30 06:14:45,-26.6481,15.1594,65.57,62,2,12.17,clear sky,0.0,0
130,pinega,RU,2021-11-30 06:14:46,64.7001,43.3936,10.85,84,100,10.87,overcast clouds,0.0,0
131,havoysund,NO,2021-11-30 06:14:46,70.9963,24.6622,21.43,83,39,17.63,scattered clouds,0.0,0
132,comodoro rivadavia,AR,2021-11-30 06:14:46,-45.8667,-67.5,57.06,33,0,9.22,clear sky,0.0,0
133,hamilton,US,2021-11-30 06:14:15,39.1834,-84.5333,40.75,52,75,1.99,broken clouds,0.0,0
134,kalmunai,LK,2021-11-30 06:14:47,7.4167,81.8167,83.26,72,71,7.02,broken clouds,0.0,0
135,japura,ID,2021-11-30 06:14:47,-0.3167,102.35,92.66,41,66,6.11,broken clouds,0.0,0
136,bathsheba,BB,2021-11-30 06:14:48,13.2167,-59.5167,79.41,83,20,13.8,few clouds,0.0,0
137,pozo colorado,PY,2021-11-30 06:14:48,-23.4923,-58.7972,64.87,64,3,3.98,clear sky,0.0,0
138,carnarvon,AU,2021-11-30 06:14:49,-24.8667,113.6333,78.21,54,0,19.44,clear sky,0.0,0
139,krasnoselkup,RU,2021-11-30 06:14:49,65.7,82.4667,1.6,97,99,9.01,overcast clouds,0.0,0
140,eganville,CA,2021-11-30 06:14:50,45.5334,-77.0994,23.52,86,57,3.06,broken clouds,0.0,0
141,tibacuy,CO,2021-11-30 06:14:50,4.3511,-72.4564,74.14,92,99,2.89,overcast clouds,0.0,0
142,vytegra,RU,2021-11-30 06:14:50,61.0064,36.4481,24.94,87,100,15.66,overcast clouds,0.0,0
143,los palacios,CU,2021-11-30 06:14:51,22.5872,-83.2486,67.66,84,98,4.45,overcast clouds,0.0,0
144,tasiilaq,GL,2021-11-30 06:14:51,65.6145,-37.6368,8.11,90,82,7.29,broken clouds,0.0,0
145,calderitas,MX,2021-11-30 06:14:52,18.55,-88.25,71.15,83,16,4.72,few clouds,0.0,0
146,izhma,RU,2021-11-30 06:14:52,65.0083,53.9113,-9.0,99,72,3.22,broken clouds,0.0,0
147,koindu,GN,2021-11-30 06:14:53,8.4386,-10.3253,68.27,98,95,0.94,overcast clouds,0.0,0
148,buchanan,LR,2021-11-30 06:14:53,5.8808,-10.0467,75.97,87,83,2.33,broken clouds,0.0,0
149,patharia,IN,2021-11-30 06:14:54,23.9,79.2,74.61,32,52,4.65,broken clouds,0.0,0
150,bunia,CD,2021-11-30 06:14:54,1.5667,30.25,68.9,83,100,0.89,light rain,0.0,0
151,ribeira grande,PT,2021-11-30 06:14:54,38.5167,-28.7,61.45,69,9,11.56,clear sky,0.0,0
152,mpika,ZM,2021-11-30 06:14:55,-11.8343,31.4529,74.57,51,51,11.43,broken clouds,0.0,0
153,masallatah,LY,2021-11-30 06:14:55,32.6167,14.0,52.63,57,43,15.28,scattered clouds,0.0,0
154,kruisfontein,ZA,2021-11-30 06:11:44,-34.0033,24.7314,66.88,47,22,11.3,few clouds,0.0,0
155,awbari,LY,2021-11-30 06:14:56,26.5921,12.7805,48.7,20,12,4.94,few clouds,0.0,0
156,calvinia,ZA,2021-11-30 06:14:56,-31.4707,19.776,58.06,45,48,5.37,scattered clouds,0.0,0
157,coihaique,CL,2021-11-30 06:14:57,-45.5752,-72.0662,47.01,87,0,2.3,clear sky,0.0,0
158,ville-marie,CA,2021-11-30 06:10:58,47.3335,-79.433,19.4,98,98,2.64,overcast clouds,0.0,0
159,saint-philippe,RE,2021-11-30 06:14:58,-21.3585,55.7679,83.75,80,42,9.55,scattered clouds,0.0,0
160,alpena,US,2021-11-30 06:14:58,45.0617,-83.4327,30.34,94,90,0.0,mist,0.0,0
161,stroby egede,DK,2021-11-30 06:14:59,55.4138,12.245,38.93,95,100,27.0,light snow,0.0,0
162,sao joao da barra,BR,2021-11-30 06:14:23,-21.6403,-41.0511,73.92,94,41,9.73,scattered clouds,0.0,0
163,rio gallegos,AR,2021-11-30 06:14:59,-51.6226,-69.2181,48.25,61,0,11.5,clear sky,0.0,0
164,nanortalik,GL,2021-11-30 06:15:00,60.1432,-45.2371,33.8,98,100,5.66,light rain,0.0,0
165,impfondo,CG,2021-11-30 06:15:00,1.6381,18.0667,74.84,77,97,2.39,overcast clouds,0.0,0
166,namibe,AO,2021-11-30 06:15:01,-15.1961,12.1522,72.52,67,21,2.57,few clouds,0.0,0
167,hit,IQ,2021-11-30 06:15:01,33.6416,42.8251,66.07,42,100,7.92,overcast clouds,0.0,0
168,saint-joseph,RE,2021-11-30 06:15:01,-21.3667,55.6167,82.76,76,22,10.04,few clouds,0.0,0
169,tambacounda,SN,2021-11-30 06:15:02,13.7539,-13.7586,74.82,24,97,6.69,overcast clouds,0.0,0
170,mahebourg,MU,2021-11-30 06:15:02,-20.4081,57.7,84.49,61,75,9.22,broken clouds,0.0,0
171,banavar,IN,2021-11-30 06:15:03,13.4136,76.1683,74.12,75,100,13.22,overcast clouds,0.0,0
172,danville,US,2021-11-30 06:14:12,36.586,-79.395,36.27,66,75,0.0,broken clouds,0.0,0
173,porto novo,BJ,2021-11-30 06:15:04,6.4965,2.6036,77.94,89,21,5.23,light rain,0.0,0
174,boffa,GN,2021-11-30 06:15:04,10.1667,-14.0333,75.51,89,74,0.94,broken clouds,0.0,0
175,gulu,UG,2021-11-30 06:15:05,2.7746,32.299,75.0,64,98,8.63,overcast clouds,0.0,0
176,thompson,CA,2021-11-30 06:15:05,55.7435,-97.8558,12.36,79,90,14.97,overcast clouds,0.0,0
177,nurota,UZ,2021-11-30 06:15:06,40.5614,65.6886,60.82,27,30,1.99,scattered clouds,0.0,0
178,abha,SA,2021-11-30 06:15:06,18.2164,42.5053,57.45,36,0,6.91,clear sky,0.0,0
179,salinopolis,BR,2021-11-30 06:15:07,-0.6136,-47.3561,79.65,84,70,10.33,broken clouds,0.0,0
180,zhezkazgan,KZ,2021-11-30 06:15:07,47.8043,67.7144,27.28,69,96,0.87,overcast clouds,0.0,0
181,oranjemund,NA,2021-11-30 06:15:08,-28.55,16.4333,64.53,77,9,9.08,clear sky,0.0,0
182,le pradet,FR,2021-11-30 06:15:08,43.1066,6.0172,41.63,49,0,11.5,clear sky,0.0,0
183,koygorodok,RU,2021-11-30 06:15:09,60.445,50.9968,28.89,95,100,12.08,overcast clouds,0.0,0
184,primorsk,UA,2021-11-30 06:15:09,46.7348,36.3443,46.36,91,37,9.73,scattered clouds,0.0,0
185,imbituba,BR,2021-11-30 06:15:10,-28.24,-48.6703,71.82,71,0,5.7,clear sky,0.0,0
186,silvassa,IN,2021-11-30 06:15:10,20.2667,73.0167,85.66,40,98,8.46,overcast clouds,0.0,0
187,greensburg,US,2021-11-30 06:12:52,40.3015,-79.5389,35.62,70,1,4.0,clear sky,0.0,0
188,alta floresta,BR,2021-11-30 06:15:11,-9.8756,-56.0861,69.66,98,99,1.45,overcast clouds,0.0,0
189,clyde river,CA,2021-11-30 06:15:11,70.4692,-68.5914,1.63,78,100,11.5,overcast clouds,0.0,0
190,aswan,EG,2021-11-30 06:15:12,24.0934,32.907,79.02,24,23,8.72,few clouds,0.0,0
191,nguruka,TZ,2021-11-30 06:15:13,-5.1092,31.0419,72.3,77,64,4.27,light rain,0.0,0
192,saint-leu,RE,2021-11-30 06:15:13,-21.15,55.2833,83.23,96,6,6.53,clear sky,0.0,0
193,mbour,SN,2021-11-30 06:15:14,14.422,-16.9638,67.05,33,98,14.63,overcast clouds,0.0,0
194,monte carmelo,BR,2021-11-30 06:15:14,-18.7247,-47.4986,67.41,94,86,2.37,overcast clouds,0.0,0
195,kutum,SD,2021-11-30 06:15:14,14.2,24.6667,71.2,35,6,12.62,clear sky,0.0,0
196,mollendo,PE,2021-11-30 06:15:15,-17.0231,-72.0147,64.98,84,98,6.15,overcast clouds,0.0,0
197,turayf,SA,2021-11-30 06:15:15,31.6725,38.6637,55.65,67,0,6.91,clear sky,0.0,0
198,sambava,MG,2021-11-30 06:15:16,-14.2667,50.1667,82.02,61,25,10.18,scattered clouds,0.0,0
199,george town,MY,2021-11-30 06:15:16,5.4112,100.3354,85.95,75,20,4.61,few clouds,0.0,0
200,rocha,UY,2021-11-30 06:15:17,-34.4833,-54.3333,63.14,93,99,18.77,overcast clouds,0.0,0
201,ugoofaaru,MV,2021-11-30 06:15:17,5.6667,73.0,81.19,79,94,13.42,overcast clouds,0.0,0
202,tsiroanomandidy,MG,2021-11-30 06:15:18,-18.7667,46.0333,80.38,59,5,3.4,clear sky,0.0,0
203,matadi,CD,2021-11-30 06:15:18,-5.8167,13.45,76.75,94,100,2.66,light rain,0.0,0
204,feodosiya,UA,2021-11-30 06:15:18,45.0333,35.3833,52.72,84,46,9.4,scattered clouds,0.0,0
205,longonjo,AO,2021-11-30 06:15:19,-12.9067,15.2533,64.27,92,98,2.59,light rain,0.0,0
206,raudeberg,NO,2021-11-30 06:15:19,61.9875,5.1352,34.86,90,100,11.01,light snow,0.0,0
207,kukmor,RU,2021-11-30 06:15:20,56.1855,50.8944,34.02,92,100,23.73,snow,0.0,0
208,koungou,YT,2021-11-30 06:15:20,-12.7336,45.2042,83.91,70,90,11.5,light rain,0.0,0
209,zaysan,KZ,2021-11-30 06:15:20,47.4667,84.8667,19.6,79,37,2.46,scattered clouds,0.0,0
210,rockland,US,2021-11-30 06:15:21,41.1668,-74.0496,32.72,73,3,5.21,clear sky,0.0,0
211,san carlos del zulia,VE,2021-11-30 06:15:21,9.0,-71.9135,73.58,94,100,4.56,overcast clouds,0.0,0
212,hobyo,SO,2021-11-30 06:15:22,5.3505,48.5268,81.75,61,7,18.86,clear sky,0.0,0
213,mehamn,NO,2021-11-30 06:15:22,71.0357,27.8492,21.38,67,0,28.77,clear sky,0.0,0
214,olinda,BR,2021-11-30 06:15:22,-8.0089,-34.8553,82.13,74,75,5.75,broken clouds,0.0,0
215,bubaque,GW,2021-11-30 06:15:23,11.2833,-15.8333,81.99,60,58,1.77,broken clouds,0.0,0
216,fakel,RU,2021-11-30 06:15:24,57.6325,53.0252,33.46,86,100,15.41,light snow,0.0,0
217,mitsamiouli,KM,2021-11-30 06:15:24,-11.3847,43.2844,82.09,74,13,9.93,light rain,0.0,0
218,tadepallegudem,IN,2021-11-30 06:15:25,16.8333,81.5,84.54,66,100,6.38,overcast clouds,0.0,0
219,miraflores,MX,2021-11-30 06:15:25,19.2167,-98.8083,57.02,82,24,1.97,few clouds,0.0,0
220,puerto maldonado,PE,2021-11-30 06:15:25,-12.6,-69.1833,72.25,99,100,1.99,overcast clouds,0.0,0
221,cordoba,AR,2021-11-30 06:11:54,-31.4135,-64.1811,61.59,67,0,6.91,clear sky,0.0,0
222,cap malheureux,MU,2021-11-30 06:15:26,-19.9842,57.6142,84.69,58,9,8.99,clear sky,0.0,0
223,saldanha,ZA,2021-11-30 06:15:26,-33.0117,17.9442,62.98,83,62,3.98,broken clouds,0.0,0
224,tinaquillo,VE,2021-11-30 06:15:27,9.9186,-68.3047,72.91,81,87,2.75,overcast clouds,0.0,0
225,uruzgan,AF,2021-11-30 06:15:27,32.8333,66.0,52.74,19,41,2.53,scattered clouds,0.0,0
226,grindavik,IS,2021-11-30 06:15:28,63.8424,-22.4338,34.27,93,90,12.66,moderate rain,0.0,0
227,phuntsholing,BT,2021-11-30 06:15:28,26.8516,89.3884,76.39,43,60,4.99,broken clouds,0.0,0
228,madingou,CG,2021-11-30 06:15:29,-4.1536,13.55,73.6,95,100,0.89,overcast clouds,0.0,0
229,takoradi,GH,2021-11-30 06:15:29,4.8845,-1.7554,78.4,86,49,4.32,scattered clouds,0.0,0
230,saint-raymond,CA,2021-11-30 06:15:30,45.467,-73.6095,25.92,76,75,2.3,broken clouds,0.0,0
231,praia da vitoria,PT,2021-11-30 06:15:30,38.7333,-27.0667,57.45,88,75,7.49,broken clouds,0.0,0
232,tutayev,RU,2021-11-30 06:15:31,57.8853,39.5406,38.68,97,100,17.49,light rain,0.0,0
233,mwanza,TZ,2021-11-30 06:15:31,-2.5167,32.9,75.13,64,94,8.19,overcast clouds,0.0,0
234,vila do maio,CV,2021-11-30 06:15:32,15.1333,-23.2167,72.39,71,100,21.56,overcast clouds,0.0,0
235,atyrau,KZ,2021-11-30 06:15:32,47.1167,51.8833,37.42,81,0,20.13,clear sky,0.0,0
236,castro,BR,2021-11-30 06:15:33,-24.7911,-50.0119,57.96,77,69,3.91,broken clouds,0.0,0
237,megion,RU,2021-11-30 06:15:33,61.0296,76.1136,24.82,94,100,14.79,overcast clouds,0.0,0
