City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
96,sur,OM,78.19,clear sky,22.5667,59.5289,Sur Plaza Hotel
97,bengkulu,ID,80.64,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
98,le vauclin,MQ,77.05,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
99,sal rei,CV,70.36,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
100,saint-pierre,RE,83.84,clear sky,-21.3393,55.4781,Lindsey Hôtel
101,black river,JM,74.98,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
103,maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
104,iqaluit,CA,11.7,overcast clouds,63.7506,-68.5145,Frobisher Inn
105,coquimbo,CL,56.93,overcast clouds,-29.9533,-71.3436,Punto de encuentro
106,sao filipe,CV,74.32,overcast clouds,14.8961,-24.4956,Hotel Xaguate
107,cidreira,BR,70.72,scattered clouds,-30.1811,-50.2056,Hotel Castelo
108,rujewa,TZ,78.44,scattered clouds,-8.7,34.3833,Mafanikio Inn Lodge
109,shadegan,IR,70.11,clear sky,30.6497,48.6647,مسافر خانه ابو ولید
110,upernavik,GL,23.29,light snow,72.7868,-56.1549,Gina's Guesthouse - Upernavik
111,zaranj,AF,62.56,overcast clouds,30.9667,61.8833,کارگاه بلوک زنی سرهنگ
112,ostrov,RU,20.93,light snow,57.3439,28.3537,Ostrov-Park
113,rorvik,NO,26.71,clear sky,64.8621,11.2373,Kysthotellet Rørvik AS
115,nyanguge,TZ,73.74,overcast clouds,-2.55,33.2,Macho lodge
116,sechura,PE,66.31,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
117,illapel,CL,61.16,clear sky,-31.6308,-71.1653,Hotel Londres
118,hambantota,LK,83.26,broken clouds,6.1241,81.1185,Bungalow 63
119,hanumangarh,IN,74.1,broken clouds,29.5833,74.3167,SPOT ON 66636 Cps Resorts
120,marigot,MF,80.04,clear sky,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
121,kismayo,SO,84.2,overcast clouds,-0.3582,42.5454,Agan-Hotel
122,cap-aux-meules,CA,44.69,overcast clouds,47.3821,-61.8597,Auberge Madeli
123,podolinec,SK,29.97,light snow,49.2587,20.536,Vaša lekáreň Holumnica
124,quatre cocos,MU,83.08,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
125,jalu,LY,56.57,few clouds,29.0331,21.5482,صاحبة الفخامة
127,malumfashi,NG,64.49,scattered clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
128,belomorsk,RU,19.04,light snow,64.5232,34.7668,Khostel Belomorsk
130,pinega,RU,10.85,overcast clouds,64.7001,43.3936,"Gostevoy Dom Ooo ""Pinezh'yeles"""
131,havoysund,NO,21.43,scattered clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
132,comodoro rivadavia,AR,57.06,clear sky,-45.8667,-67.5,Austral Hotel
133,hamilton,US,40.75,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
134,kalmunai,LK,83.26,broken clouds,7.4167,81.8167,VS Villa
136,bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
137,pozo colorado,PY,64.87,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
138,carnarvon,AU,78.21,clear sky,-24.8667,113.6333,Hospitality Carnarvon
139,krasnoselkup,RU,1.6,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
140,eganville,CA,23.52,broken clouds,45.5334,-77.0994,Egan Inn
141,tibacuy,CO,74.14,overcast clouds,4.3511,-72.4564,hospedaje las palmas
142,vytegra,RU,24.94,overcast clouds,61.0064,36.4481,Wardenclyffe Volgo&Balt
144,tasiilaq,GL,8.11,broken clouds,65.6145,-37.6368,The Red House
145,calderitas,MX,71.15,few clouds,18.55,-88.25,Hotel Hacienda Campestre
148,buchanan,LR,75.97,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
149,patharia,IN,74.61,broken clouds,23.9,79.2,Maraige hool शादी घर पथरिया दमोह
150,bunia,CD,68.9,light rain,1.5667,30.25,Gold Star International Hotel
151,ribeira grande,PT,61.45,clear sky,38.5167,-28.7,Quinta da Meia Eira
152,mpika,ZM,74.57,broken clouds,-11.8343,31.4529,Melodies Lodge
153,masallatah,LY,52.63,scattered clouds,32.6167,14.0,Mustafa Taher Sowaidan
154,kruisfontein,ZA,66.88,few clouds,-34.0033,24.7314,Oyster Bay House Rental
